Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Gelu,tvui,movieDetails,,,2023-11-01 16:15:49
Gelu,tvui,playback,,,2023-11-01 16:15:49
Gelu,tvui,playback,,,2023-11-01 15:47:47
Gelu,tvui,movieDetails,,,2023-11-01 15:47:47
Gelu,tvui,browseTitles,,,2023-11-01 15:47:39
Gelu,tvui,movieDetails,,,2023-11-01 15:47:39
Gelu,tvui,profilesGate,,,2023-11-01 15:42:39
Gelu,tvui,browseTitles,,,2023-11-01 15:42:39
Gelu,tvui,profilesGate,,,2023-10-31 12:31:02
Gelu,tvui,profilesGate,,,2023-10-28 21:25:50
Gelu,tvui,browseTitles,,,2023-10-28 21:25:50
Gelu,tvui,browseTitles,,,2023-10-28 20:55:42
Gelu,tvui,movieDetails,,,2023-10-28 20:55:42
Gelu,tvui,postPlay,,,2023-10-28 20:55:40
Gelu,tvui,movieDetails,,,2023-10-28 20:55:40
Gelu,tvui,playback,,,2023-10-28 20:55:32
Gelu,tvui,postPlay,,,2023-10-28 20:55:32
Gelu,tvui,playback,,,2023-10-28 20:11:09
Gelu,tvui,postPlay,,,2023-10-28 20:11:09
Gelu,tvui,postPlay,,,2023-10-28 20:11:07
Gelu,tvui,playback,,,2023-10-28 20:11:07
Gelu,tvui,playback,,,2023-10-28 19:31:33
Gelu,tvui,postPlay,,,2023-10-28 19:31:33
Gelu,tvui,playback,,,2023-10-28 19:31:33
Gelu,tvui,postPlay,,,2023-10-28 19:31:33
Gelu,tvui,playback,,,2023-10-28 18:59:55
Gelu,tvui,postPlay,,,2023-10-28 18:59:55
Gelu,tvui,playback,,,2023-10-28 18:59:53
Gelu,tvui,postPlay,,,2023-10-28 18:59:53
Gelu,tvui,postPlay,,,2023-10-28 18:23:51
Gelu,tvui,playback,,,2023-10-28 18:23:51
Gelu,tvui,playback,,,2023-10-28 18:23:48
Gelu,tvui,postPlay,,,2023-10-28 18:23:48
Gelu,tvui,movieDetails,,,2023-10-28 17:35:11
